[2017-05-26 15:17:20] account_id:594, channel:default_self, game_id:_self_game, server_id:1
[2017-05-26 15:24:06] account_id:595, channel:default_self, game_id:_self_game, server_id:1
[2017-05-26 15:24:40] account_id:596, channel:default_self, game_id:_self_game, server_id:1
[2017-05-26 15:25:13] account_id:597, channel:default_self, game_id:_self_game, server_id:1
[2017-05-26 15:35:47] account_id:597, channel:default_self, game_id:_self_game, server_id:1
[2017-05-26 15:37:04] account_id:597, channel:default_self, game_id:_self_game, server_id:1
[2017-05-26 15:37:46] account_id:597, channel:default_self, game_id:_self_game, server_id:1
[2017-05-26 15:45:24] account_id:597, channel:default_self, game_id:_self_game, server_id:1
[2017-05-26 15:47:46] account_id:597, channel:default_self, game_id:_self_game, server_id:1
[2017-05-26 15:59:37] account_id:598, channel:default_self, game_id:_self_game, server_id:1
